Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
5/23/2021,BN,Brunei Darussalam,WPRO,0,236,0,3
5/22/2021,BN,Brunei Darussalam,WPRO,1,236,0,3
5/21/2021,BN,Brunei Darussalam,WPRO,0,235,0,3
5/20/2021,BN,Brunei Darussalam,WPRO,0,235,0,3
5/19/2021,BN,Brunei Darussalam,WPRO,3,235,0,3
5/18/2021,BN,Brunei Darussalam,WPRO,0,232,0,3
5/17/2021,BN,Brunei Darussalam,WPRO,0,232,0,3
5/16/2021,BN,Brunei Darussalam,WPRO,0,232,0,3
5/15/2021,BN,Brunei Darussalam,WPRO,0,232,0,3
5/14/2021,BN,Brunei Darussalam,WPRO,1,232,0,3
5/13/2021,BN,Brunei Darussalam,WPRO,1,231,0,3
5/12/2021,BN,Brunei Darussalam,WPRO,0,230,0,3
5/11/2021,BN,Brunei Darussalam,WPRO,0,230,0,3
5/10/2021,BN,Brunei Darussalam,WPRO,0,230,0,3
5/9/2021,BN,Brunei Darussalam,WPRO,0,230,0,3
5/8/2021,BN,Brunei Darussalam,WPRO,1,230,0,3
5/7/2021,BN,Brunei Darussalam,WPRO,1,229,0,3
5/6/2021,BN,Brunei Darussalam,WPRO,0,228,0,3
5/5/2021,BN,Brunei Darussalam,WPRO,1,228,0,3
5/4/2021,BN,Brunei Darussalam,WPRO,0,227,0,3
5/3/2021,BN,Brunei Darussalam,WPRO,0,227,0,3
5/2/2021,BN,Brunei Darussalam,WPRO,2,227,0,3
5/1/2021,BN,Brunei Darussalam,WPRO,1,225,0,3
4/30/2021,BN,Brunei Darussalam,WPRO,0,224,0,3
4/29/2021,BN,Brunei Darussalam,WPRO,1,224,0,3
4/28/2021,BN,Brunei Darussalam,WPRO,0,223,0,3
4/27/2021,BN,Brunei Darussalam,WPRO,0,223,0,3
4/26/2021,BN,Brunei Darussalam,WPRO,0,223,0,3
4/25/2021,BN,Brunei Darussalam,WPRO,0,223,0,3
4/24/2021,BN,Brunei Darussalam,WPRO,0,223,0,3
4/23/2021,BN,Brunei Darussalam,WPRO,0,223,0,3
4/22/2021,BN,Brunei Darussalam,WPRO,0,223,0,3
4/21/2021,BN,Brunei Darussalam,WPRO,2,223,0,3
4/20/2021,BN,Brunei Darussalam,WPRO,0,221,0,3
4/19/2021,BN,Brunei Darussalam,WPRO,0,221,0,3
4/18/2021,BN,Brunei Darussalam,WPRO,0,221,0,3
4/17/2021,BN,Brunei Darussalam,WPRO,0,221,0,3
4/16/2021,BN,Brunei Darussalam,WPRO,0,221,0,3
